ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Living_With,Total_Spent,Children_Home,Seniority_Days,Age,Total_Purchases,Cluster,Total_Promos,Marketing_Potential_Score,Probabilité_Réponse,Cluster_Name
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,Alone,1617,0,663,65,22,1,1,50.83,0.46976857089857854,Épicuriens VIP
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,Alone,27,2,113,68,4,0,0,0.75,0.035597590896021485,Seniors Budgétaires
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,Partner,776,0,312,57,20,1,0,21.51,0.11575654608530929,Épicuriens VIP
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,Partner,53,1,139,38,6,3,0,1.47,0.05309603227247409,Petits Consommateurs
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,Partner,422,1,161,41,14,3,0,11.7,0.05636956094761865,Petits Consommateurs
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,Partner,716,1,293,55,20,1,0,19.85,0.07925872018330371,Épicuriens VIP
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,Alone,590,1,593,51,17,2,0,16.36,0.16560029813659408,Jeunes Prudents
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,Partner,169,1,417,37,8,2,0,4.69,0.11040652650015767,Jeunes Prudents
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,Partner,46,1,388,48,5,2,1,7.28,0.10024858565324826,Jeunes Prudents
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,Partner,49,2,108,72,1,0,1,7.36,0.043227463025679334,Seniors Budgétaires
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,Partner,19,1,226,39,3,3,0,0.53,0.07212162937551826,Petits Consommateurs
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,Partner,61,0,593,46,5,2,0,1.69,0.21709780992092892,Jeunes Prudents
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,Alone,1102,0,226,63,15,1,0,30.55,0.16895080115183245,Épicuriens VIP
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,Alone,310,2,226,70,12,0,0,8.59,0.044067311741676315,Seniors Budgétaires
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,Partner,46,0,627,35,4,2,0,1.28,0.2441276621842311,Jeunes Prudents
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,Alone,1315,0,582,76,25,1,3,54.46,0.27928982835598815,Épicuriens VIP
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,Partner,96,2,552,42,6,2,0,2.66,0.11550305460317452,Jeunes Prudents
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,Partner,317,0,667,76,11,2,0,8.79,0.23140226506236647,Jeunes Prudents
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,Partner,1782,1,458,73,24,1,1,55.4,0.28396534580700605,Épicuriens VIP
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,Alone,133,1,603,37,6,2,0,3.69,0.1795013022003565,Jeunes Prudents
